	Assay	Cell Type	Molecule
389	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K79me2
390	CHIP	129 ES-E14	H3K4me1
391	CHIP	129 ES-E14	H3K4me3
392	CHIP	129 ES-E14	H3K9ac
393	CHIP	129 ES-E14	H3K27ac
394	CHIP	129 ES-E14	H3K36me3
395	CHIP	C57BL/6 ES-Bruce4	H3K9ac
396	CHIP	CD-1 megakaryocyte embryo (14.5 days)	FLI1
397	CHIP	CD-1 megakaryocyte embryo (14.5 days)	H3K27me3
398	CHIP	CD-1 erythroblast embryo (14.5 days)	H3K4me3
399	CHIP	CD-1 megakaryocyte embryo (14.5 days)	H3K9me3
400	CHIP	CD-1 megakaryocyte embryo (14.5 days)	H3K36me3
401	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	H3K9me3
402	CHIP	CD-1 erythroblast embryo (14.5 days)	H3K4me1
403	CHIP	CD-1 erythroblast embryo (14.5 days)	H3K36me3
404	CHIP	129 G1E	H3K9me3
405	CHIP	CD-1 erythroblast embryo (14.5 days)	H3K9me3
406	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K9me3
407	CHIP	CD-1 erythroblast embryo (14.5 days)	H3K27me3
408	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K4me1
409	CHIP	CD-1 megakaryocyte embryo (14.5 days)	H3K4me1
410	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	H3K36me3
411	CHIP	CD-1 megakaryocyte embryo (14.5 days)	H3K4me3
412	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K4me3
413	CHIP	129 G1E	H3K36me3
414	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K36me3
415	CHIP	129 G1E	H3K27me3
416	CHIP	B10.H-2aH-4bp/Wts CH12.LX	H3K27me3
417	CHIP	DBA/2 MEL cell line	POLR2AphosphoS5
418	CHIP	DBA/2 MEL cell line	TAL1
419	CHIP	129 G1E	GATA1
420	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	GATA2
421	CHIP	129 G1E	GATA2
422	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	POLR2AphosphoS5
423	CHIP	129 G1E	POLR2AphosphoS5
424	CHIP	B10.H-2aH-4bp/Wts CH12.LX	PAX5
425	CHIP	CD-1 erythroblast embryo (14.5 days)	GATA1
426	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	TAL1
427	CHIP	129 G1E	TAL1
428	CHIP	DBA/2 MEL cell line	CTCF
429	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	GATA1
430	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	CTCF
431	CHIP	129 G1E	CTCF
432	CHIP	B10.H-2aH-4bp/Wts CH12.LX	CTCF
433	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	H3K4me3
434	CHIP	129 G1E	H3K4me3
435	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	H3K4me1
436	CHIP	129 G1E-ER4 treated with 10 nM 17B-estradiol for 24 hours	H3K27me3
437	CHIP	129 G1E	H3K4me1
438	CHIP	B10.H-2aH-4bp/Wts CH12.LX	ZNF384
439	CHIP	B10.H-2aH-4bp/Wts CH12.LX	ZMIZ1
440	CHIP	B10.H-2aH-4bp/Wts CH12.LX	ZC3H11A
441	CHIP	B10.H-2aH-4bp/Wts CH12.LX	HCFC1
